store_id,cat_id,mse_fcst,mse_naive_insample,weights,msse,rmsse,wrmsse
0,0,32242.05993653303,382991.7287685775,0.05967164,0.08418474216192609,0.29014607038856494,0.017313491974573235
0,1,11406.746422464108,15732.239384288747,0.017830685,0.7250554828103899,0.8515018983011077,0.015182861939093628
0,2,17567.42545486796,36357.329087048834,0.030096218,0.48318800902032727,0.6951172627840049,0.020920400669305006
1,0,389007.83547557035,193860.61571125264,0.05659252,2.0066367479972382,1.4165580637577968,0.0801665910167049
1,1,7388.734049959462,11401.375796178343,0.011803872,0.6480563558334873,0.8050194754373879,0.009502346806926947
1,2,74793.03898053225,66705.19426751592,0.034738667,1.1212476000081892,1.058889795969434,0.036784420339378
2,0,76034.14600392517,427521.7547770701,0.08347911,0.17784860104621564,0.4217209990576894,0.035204892162516696
2,1,6273.670836432438,14561.390658174098,0.01873511,0.4308428352556207,0.656386193681449,0.012297468039782888
2,2,16680.03397585984,73151.29564755839,0.053637728,0.22802103268579052,0.4775154790012472,0.025612845423848663
3,0,13529.041228198123,53704.06794055202,0.034932233,0.25191836944594515,0.5019147033569998,0.01753300156114159
3,1,4025.5058476421773,6204.8954352441615,0.010930658,0.6487628824133076,0.8054581816663777,0.008804188173315193
3,2,4322.325417531601,4501.614118895966,0.016727433,0.9601723522654276,0.9798838463131371,0.0163909410034631
4,0,28887.96449904507,178762.74946921444,0.040448047,0.161599464009251,0.4019943581808717,0.016259886782157677
4,1,2688.6166118742517,5141.176220806794,0.009439997,0.5229574899598234,0.7231579979228767,0.006826609602110487
4,2,8000.270121362188,26996.160828025477,0.028405173,0.29634843903644553,0.5443789480099736,0.015463178059879176
5,0,77577.42184585838,302568.16507431,0.054525834,0.2563965109376446,0.5063561107932288,0.02760948902776687
5,1,2978.8206708676025,7998.475053078556,0.014766222,0.37242357463140124,0.6102651674734527,0.00901131086001174
5,2,10270.364435047606,36639.859341825904,0.032959715,0.28030578226929936,0.5294391204560722,0.017450162272251563
6,0,30080.758008316887,172631.1406581741,0.05178371,0.17424873573580574,0.4174311149588705,0.021616132101787013
6,1,2902.979611827675,5213.868895966029,0.01868302,0.5567803237388095,0.7461771396517113,0.01394084244267705
6,2,12397.868019722504,22997.832271762207,0.030056715,0.5390885485735617,0.7342264967798163,0.022068436567673946
7,0,65808.62403035357,221873.47133757963,0.052902915,0.296604292679164,0.5446138932116624,0.02881166227366364
7,1,4156.520313492187,16093.212845010616,0.011971446,0.25827784380424906,0.5082104326007575,0.00608401362558345
7,2,10120.085063074474,25440.35721868365,0.021550873,0.3977965001074035,0.6307111066941848,0.013592375145783027
8,0,441725.5010646955,352958.9331210191,0.07715115,1.2514926231183983,1.118701310948726,0.08630909209953418
8,1,2779.0086666257585,3933.7234607218684,0.008755787,0.7064575571653908,0.8405102956926767,0.007359329352147313
8,2,49565.10762896058,33991.06050955414,0.03284979,1.4581806770938763,1.2075515215070023,0.039667812284535836
9,0,61272.95861988977,318741.6533970276,0.054115895,0.19223392351412447,0.43844489222036154,0.02372683783043403
9,1,3545.1702829307064,5576.791401273886,0.007450755,0.6357007153111189,0.7973084191899136,0.005940549866154703
9,2,14839.40247468856,23830.843418259024,0.02300708,0.6226973260761184,0.7891117323143272,0.018155156721874215
